Root Chord,Taper,Sweep,Twist,Wingspan,CL,CD,L_D
15.0,0.7,0.0,0.0,50.0,0.698851041699,0.053988661139,12.944404009199781
15.0,0.7,0.0,0.0,70.0,0.796424454923,0.051464699835,15.47515981782467
15.0,0.7,0.0,0.0,90.0,0.85865640269,0.048137056542,17.837742154857658
15.0,0.7,0.0,0.0,110.0,0.906234276367,0.045794625624,19.78909673392027
15.0,0.7,0.0,0.0,130.0,0.939364352555,0.043281726383,21.70348622979048
15.0,0.7,0.0,0.0,150.0,0.965058254999,0.041138543338,23.458736666243794
15.0,0.7,10.0,0.0,50.0,0.709282460178,0.056699047876,12.509600897164809
15.0,0.7,10.0,0.0,70.0,0.795091096503,0.05150543658,15.437032462933061
15.0,0.7,10.0,0.0,90.0,0.856129416958,0.048005262635,17.83407422364163
15.0,0.7,10.0,0.0,110.0,0.902381294232,0.045669754946,19.75883810410144
15.0,0.7,10.0,0.0,130.0,0.934220103111,0.042967604984,21.74242905693438
15.0,0.7,10.0,0.0,150.0,0.95849325351,0.040750783601,23.52085454097818
15.0,0.7,20.0,0.0,50.0,0.700632765148,0.055137472266,12.707016414679542
15.0,0.7,20.0,0.0,70.0,0.778905782353,0.049776455398,15.648076507759855
15.0,0.7,20.0,0.0,90.0,0.834404096297,0.046046518192,18.120894457595863
15.0,0.7,20.0,0.0,110.0,0.876687461154,0.043759323882,20.034300884493728
15.0,0.7,20.0,0.0,130.0,0.905200332138,0.04110059804,22.02401851323524
15.0,0.7,20.0,0.0,150.0,0.926909185539,0.0388604752,23.85223497058523
15.0,0.7,30.0,0.0,50.0,0.668490470797,0.04977662607,13.429806790378148
15.0,0.7,30.0,0.0,70.0,0.743141577483,0.045993316966,16.15759911450523
15.0,0.7,30.0,0.0,90.0,0.793408607761,0.043089782783,18.41291732094829
15.0,0.7,30.0,0.0,110.0,0.827140608718,0.04026508645,20.542377569339603
15.0,0.7,30.0,0.0,130.0,0.850932411627,0.037689486588,22.57744768266303
15.0,0.7,30.0,0.0,150.0,0.86913613769,0.035505889525,24.478647044683495
15.0,0.7999999999999999,0.0,0.0,50.0,0.687775166935,0.056303201178,12.215560617248567
15.0,0.7999999999999999,0.0,0.0,70.0,0.787559657327,0.054190460066,14.533179020215185
15.0,0.7999999999999999,0.0,0.0,90.0,0.842524747429,0.049030927161,17.183536926855382
15.0,0.7999999999999999,0.0,0.0,110.0,0.888362270253,0.046167559129,19.24213207310278
15.0,0.7999999999999999,0.0,0.0,130.0,0.924705104728,0.044176415979,20.932098818690363
15.0,0.7999999999999999,0.0,0.0,150.0,0.952272245554,0.04230230547,22.51111931072725
15.0,0.7999999999999999,10.0,0.0,50.0,0.68731566941,0.056222856059,12.224844442067015
15.0,0.7999999999999999,10.0,0.0,70.0,0.785447867741,0.054032831202,14.53649291121963
15.0,0.7999999999999999,10.0,0.0,90.0,0.849618606277,0.051200061047,16.594093618307948
15.0,0.7999999999999999,10.0,0.0,110.0,0.881089910743,0.045458661895,19.38222274949785
15.0,0.7999999999999999,10.0,0.0,130.0,0.917854537248,0.043832485974,20.94005203794376
15.0,0.7999999999999999,10.0,0.0,150.0,0.94455283134,0.041913500293,22.535765916399743
15.0,0.7999999999999999,20.0,0.0,50.0,0.676879099862,0.054332529635,12.458081823342294
15.0,0.7999999999999999,20.0,0.0,70.0,0.768661984212,0.052349591895,14.683246924899453
15.0,0.7999999999999999,20.0,0.0,90.0,0.81383945626,0.046302565822,17.576552007692754
15.0,0.7999999999999999,20.0,0.0,110.0,0.854201610583,0.043375778754,19.6930553207469
15.0,0.7999999999999999,20.0,0.0,130.0,0.887574426614,0.041689040191,21.290354072618186
15.0,0.7999999999999999,20.0,0.0,150.0,0.911048701207,0.039654860254,22.974452447228135
15.0,0.7999999999999999,30.0,0.0,50.0,0.653627782831,0.051007017012,12.814467912860428
15.0,0.7999999999999999,30.0,0.0,70.0,0.720694027005,0.045715423938,15.764789318861329
15.0,0.7999999999999999,30.0,0.0,90.0,0.770686089848,0.042751837776,18.02696983194129
15.0,0.7999999999999999,30.0,0.0,110.0,0.805030792932,0.03989174614,20.180384937444103
15.0,0.7999999999999999,30.0,0.0,130.0,0.834135775182,0.038382602771,21.732131615947416
15.0,0.7999999999999999,30.0,0.0,150.0,0.853840660698,0.03633342416,23.500142924541798
15.0,0.9,0.0,0.0,50.0,0.666958340689,0.055693895885,11.975429804123856
15.0,0.9,0.0,0.0,70.0,0.76714571814,0.05370973771,14.283177517680715
15.0,0.9,0.0,0.0,90.0,0.83616082035,0.051783985896,16.147092694434484
15.0,0.9,0.0,0.0,110.0,0.883921002249,0.049418123308,17.88657567467576
15.0,0.9,0.0,0.0,130.0,0.92006429398,0.047251204274,19.471763907745856
15.0,0.9,0.0,0.0,150.0,0.934869385525,0.04230892658,22.096268118674637
15.0,0.9,10.0,0.0,50.0,0.664287848739,0.055044668172,12.06815974733968
